"scenario","n","metric","mean","median","q10","q90","scaled_median"
"balanced",1000,"Ea",0.0238148466215421,0.0224948726139909,0.00849571630648085,0.0407134858539849,0.711350331355569
"balanced",1000,"EetaS1",0.0284928241028546,0.0244800975710543,0.00849854352526313,0.0549328266082212,0.774128656676873
"balanced",1000,"EetaS2",0.030484688713202,0.0258682365447792,0.0113993968251017,0.0552870600988434,0.818025465335064
"balanced",1000,"EmuS1",0.0272601095252671,0.0232216166178433,0.00833574623727669,0.0523991272717631,0.734331994636006
"balanced",1000,"EmuS2",0.0172957661172339,0.0158744511615123,0.00941577840466905,0.0268535791017254,0.501994222754844
"balanced",1000,"Etau",0.0253098115085209,0.0208216002339344,0.00343997157555346,0.0541157380195176,0.658436812687274
"strong",100,"EI1",0.309325498078758,0.283240797366662,0.156173954457532,0.498519088943229,2.83240797366662
"strong",100,"EI2",0.269672893107666,0.250157606846342,0.143977544423413,0.428518793787379,2.50157606846342
"strong",100,"EI3",0.216615203841376,0.200694523378779,0.118840558161067,0.329190058590602,2.00694523378779
"strong",100,"ES",0.109518526185375,0.0994016713458412,0.047878336739256,0.178778730468404,0.994016713458412
"strong",100,"Ea",0.0428897190492097,0.0395277322972144,0.0155125846401135,0.0744459037256187,0.395277322972144
"strong",100,"EetaS1",0.0851348583376475,0.073062416567173,0.0209411905582477,0.173734944902972,0.730624165671729
"strong",100,"EetaS2",0.088296440442316,0.0762199737198984,0.0285719587292234,0.176303829387633,0.762199737198984
"strong",100,"EmuS1",0.0812258313101852,0.069455797288977,0.0204667645591196,0.164826135092824,0.69455797288977
"strong",100,"EmuS2",0.0449222657669023,0.0385183440145554,0.0215862175783544,0.0790270719971889,0.385183440145554
"strong",100,"Etau",0.0506875319986132,0.0449494398569749,0.00836448630643594,0.101172733534878,0.449494398569749
"strong",250,"EI1",0.206650915000583,0.186165979505251,0.111278844242215,0.326968175613292,2.9435425903641
"strong",250,"EI2",0.177074683946979,0.162115371495816,0.090017705821573,0.289476957484235,2.56326908825558
"strong",250,"EI3",0.141853966694278,0.131450161007077,0.0743860174108465,0.217367124736375,2.07840953789108
"strong",250,"ES",0.0669808098106296,0.0630832165877352,0.0272914761115778,0.111386958780677,0.997433232734792
"strong",250,"Ea",0.0268547495606676,0.0252419581069343,0.00970687934952661,0.0464240383840288,0.399110401102323
"strong",250,"EetaS1",0.0515042866077043,0.0425353432383427,0.0136496333902259,0.104885520770005,0.672542828451027
"strong",250,"EetaS2",0.0532225686141395,0.0440654647938131,0.0161959552677023,0.105110040304179,0.696736174512057
"strong",250,"EmuS1",0.0492188188629658,0.0406585042747105,0.0130512821205553,0.101256416604478,0.642867398818888
"strong",250,"EmuS2",0.0269569773404664,0.0226448621958687,0.0128563142042103,0.0468994499497441,0.358046709197935
"strong",250,"Etau",0.0306950511135148,0.026254061342233,0.00519901664591191,0.0650957376710485,0.415113158356168
"strong",500,"EI1",0.140400402581064,0.131217564668474,0.0756056513929287,0.217016699260588,2.93411394440682
"strong",500,"EI2",0.119264981753856,0.111587113122517,0.0642186524407538,0.182366203533717,2.49516370354907
"strong",500,"EI3",0.0971202590009242,0.0908660957728938,0.0544180910072573,0.149713222945046,2.03182766998197
"strong",500,"ES",0.0475603586765242,0.0450140131534247,0.0207185769345884,0.078384533258172,1.00654393351127
"strong",500,"Ea",0.0181317839061136,0.016700931331472,0.00722286193886228,0.0308675869669897,0.373444177447275
"strong",500,"EetaS1",0.0372074499927263,0.0321606193528429,0.0083803726527097,0.0765077480886594,0.719133310714521
"strong",500,"EetaS2",0.038572734679403,0.0330286740315845,0.0114664150710497,0.0769953850394048,0.738543603413049
"strong",500,"EmuS1",0.035583477677461,0.0306613757897673,0.00822435290826044,0.0731608880623124,0.685609205495859
"strong",500,"EmuS2",0.0194503224809627,0.0167908524746465,0.00896215575367516,0.0334433932197669,0.375454875334802
"strong",500,"Etau",0.0214994878220606,0.0194742991269179,0.00350001220117336,0.0423010452555564,0.435458566619533
"strong",1000,"EI1",0.101424840031104,0.094984506144665,0.0553596203523509,0.157589021042703,3.003673818434
"strong",1000,"EI2",0.0857895954236871,0.0805705882410231,0.0450092399121065,0.133877983151406,2.54786571261212
"strong",1000,"EI3",0.0692665967959793,0.0631973631788905,0.0369361408032774,0.108494363455913,1.99847609762153
"strong",1000,"ES",0.0340812626516446,0.0313401297878294,0.0152598138568275,0.0551407090125228,0.991061922948304
"strong",1000,"Ea",0.0129057674975043,0.0120703172407288,0.00476160579447602,0.022452121241161,0.381696945615018
